Device Time, Air Fuel Ratio(Measured)(:1),Engine RPM(rpm),Mass Air Flow Rate(g/s),Throttle Position(Manifold)(%),Timing Advance(°)
31-maj-2017 08:18:39.396,14.7968998,830.5,4.25,2.74509811,4.5
31-maj-2017 08:18:39.495,14.7968998,836.5,4.25,2.74509811,4.5
31-maj-2017 08:18:39.596,14.7968998,836.5,4.25,2.74509811,6
31-maj-2017 08:18:39.697,14.7968998,836.5,4.25,2.74509811,6
31-maj-2017 08:18:39.797,14.7968998,836.5,4.25,2.74509811,6
31-maj-2017 08:18:39.897,14.7968998,836.5,4.25,2.74509811,6
31-maj-2017 08:18:39.997,14.7968998,836.5,4.25,2.74509811,6
31-maj-2017 08:18:40.097,14.75024414,836.5,4.25,2.74509811,6
31-maj-2017 08:18:40.197,14.75024414,836.5,4.25,2.74509811,6
31-maj-2017 08:18:40.297,14.75024414,836.5,4.5,2.74509811,6
31-maj-2017 08:18:40.397,14.75024414,842.5,4.5,2.74509811,6
31-maj-2017 08:18:40.496,14.75024414,842.5,4.5,2.74509811,6
31-maj-2017 08:18:40.597,14.75024414,842.5,4.5,2.74509811,4.5
31-maj-2017 08:18:40.696,14.75024414,842.5,4.5,2.74509811,4.5
31-maj-2017 08:18:40.797,14.75024414,842.5,4.5,2.74509811,4.5
31-maj-2017 08:18:40.896,14.75024414,842.5,4.5,2.74509811,4.5
31-maj-2017 08:18:40.997,14.75024414,842.5,4.5,2.74509811,4.5
31-maj-2017 08:18:41.096,14.66052151,842.5,4.5,2.74509811,4.5
31-maj-2017 08:18:41.197,14.66052151,842.5,4.5,2.74509811,4.5
31-maj-2017 08:18:41.296,14.66052151,842.5,4.5,2.74509811,4.5
31-maj-2017 08:18:41.396,14.66052151,832.25,4.5,2.74509811,4.5
31-maj-2017 08:18:41.495,14.66052151,832.25,4.5,2.74509811,4.5
31-maj-2017 08:18:41.596,14.66052151,832.25,4.5,2.74509811,4.5
31-maj-2017 08:18:41.696,14.66052151,832.25,4.5,2.74509811,4.5
31-maj-2017 08:18:41.798,14.66052151,832.25,4.5,2.74509811,4.5
31-maj-2017 08:18:41.895,14.66052151,832.25,4.5,2.74509811,4.5
31-maj-2017 08:18:41.997,14.64257717,832.25,4.5,2.74509811,4.5
31-maj-2017 08:18:42.097,14.64257717,832.25,4.5,2.74509811,4.5
31-maj-2017 08:18:42.197,14.64257717,832.25,4.25,2.74509811,4.5
31-maj-2017 08:18:42.296,14.64257717,832,4.25,2.74509811,4.5
31-maj-2017 08:18:42.396,14.64257717,832,4.25,2.74509811,4.5
31-maj-2017 08:18:42.496,14.64257717,832,4.25,2.74509811,3.5
31-maj-2017 08:18:42.596,14.64257717,832,4.25,2.74509811,3.5
31-maj-2017 08:18:42.697,14.64257717,832,4.25,3.13725495,3.5
31-maj-2017 08:18:42.798,14.64257717,832,4.25,3.13725495,3.5
31-maj-2017 08:18:42.898,14.64257717,832,4.25,3.13725495,3.5
31-maj-2017 08:18:42.997,14.91892147,832,4.25,3.13725495,3.5
31-maj-2017 08:18:43.097,14.91892147,832,4.75,3.13725495,3.5
31-maj-2017 08:18:43.197,14.91892147,832,4.75,3.13725495,3.5
31-maj-2017 08:18:43.297,14.91892147,843.75,4.75,3.13725495,3.5
31-maj-2017 08:18:43.397,14.91892147,843.75,4.75,3.13725495,3.5
31-maj-2017 08:18:43.496,14.91892147,843.75,4.75,3.13725495,0
31-maj-2017 08:18:43.596,14.91892147,843.75,4.75,3.13725495,0
31-maj-2017 08:18:43.697,14.91892147,843.75,4.75,3.13725495,0
31-maj-2017 08:18:43.796,14.91892147,843.75,4.75,3.13725495,0
31-maj-2017 08:18:43.897,14.66052151,843.75,4.75,3.13725495,0
31-maj-2017 08:18:43.996,14.66052151,843.75,4.75,3.13725495,0
31-maj-2017 08:18:44.097,14.66052151,843.75,4.75,3.13725495,0
31-maj-2017 08:18:44.196,14.66052151,843.25,4.75,3.13725495,0
31-maj-2017 08:18:44.296,14.66052151,843.25,4.75,3.13725495,0
31-maj-2017 08:18:44.396,14.66052151,843.25,4.75,3.13725495,0.5
31-maj-2017 08:18:44.496,14.66052151,843.25,4.75,3.13725495,0.5
31-maj-2017 08:18:44.598,14.66052151,843.25,4.75,3.13725495,0.5
31-maj-2017 08:18:44.697,14.66052151,843.25,4.75,3.13725495,0.5
31-maj-2017 08:18:44.796,14.66052151,843.25,4.75,3.13725495,0.5
31-maj-2017 08:18:44.897,14.72871017,843.25,4.75,3.13725495,0.5
31-maj-2017 08:18:44.998,14.72871017,843.25,4.5,3.13725495,0.5
31-maj-2017 08:18:45.096,14.72871017,843.25,4.5,3.13725495,0.5
31-maj-2017 08:18:45.197,14.72871017,841.5,4.5,3.13725495,0.5
31-maj-2017 08:18:45.297,14.72871017,841.5,4.5,3.13725495,1.5
31-maj-2017 08:18:45.396,14.72871017,841.5,4.5,3.13725495,1.5
31-maj-2017 08:18:45.495,14.72871017,841.5,4.5,3.13725495,1.5
31-maj-2017 08:18:45.599,14.72871017,841.5,4.5,3.13725495,1.5
31-maj-2017 08:18:45.696,14.72871017,841.5,4.5,3.13725495,1.5
31-maj-2017 08:18:45.797,14.62463284,841.5,4.5,3.13725495,1.5
31-maj-2017 08:18:45.898,14.62463284,841.5,4.5,3.13725495,1.5
31-maj-2017 08:18:45.996,14.62463284,841.5,4.75,3.13725495,1.5
31-maj-2017 08:18:46.097,14.62463284,822.5,4.75,3.13725495,1.5
31-maj-2017 08:18:46.197,14.62463284,822.5,4.75,3.13725495,1.5
31-maj-2017 08:18:46.296,14.62463284,822.5,4.75,3.13725495,3
31-maj-2017 08:18:46.396,14.62463284,822.5,4.75,4.31372547,3
31-maj-2017 08:18:46.496,14.62463284,822.5,4.75,4.31372547,3
31-maj-2017 08:18:46.597,14.62463284,822.5,4.75,4.31372547,3
31-maj-2017 08:18:46.697,14.62463284,822.5,4.75,4.31372547,3
31-maj-2017 08:18:46.797,14.86867619,822.5,4.75,4.31372547,3
31-maj-2017 08:18:46.897,14.86867619,822.5,6.25,4.31372547,3
31-maj-2017 08:18:46.997,14.86867619,822.5,6.25,4.31372547,3
31-maj-2017 08:18:47.097,14.86867619,791,6.25,4.31372547,3
31-maj-2017 08:18:47.197,14.86867619,791,6.25,4.31372547,3
31-maj-2017 08:18:47.297,14.86867619,791,6.25,4.31372547,11
31-maj-2017 08:18:47.396,14.86867619,791,6.25,5.09803915,11
31-maj-2017 08:18:47.495,14.86867619,791,6.25,5.09803915,11
31-maj-2017 08:18:47.596,14.86867619,791,6.25,5.09803915,11
31-maj-2017 08:18:47.697,15.50031757,791,6.25,5.09803915,11
31-maj-2017 08:18:47.797,15.50031757,791,6.25,5.09803915,11
31-maj-2017 08:18:47.897,15.50031757,791,6.25,5.09803915,11
31-maj-2017 08:18:47.997,15.50031757,791,6.25,5.09803915,11
31-maj-2017 08:18:48.096,15.50031757,767,6.25,5.09803915,11
31-maj-2017 08:18:48.197,15.50031757,767,6.25,5.09803915,11
31-maj-2017 08:18:48.297,15.50031757,767,6.25,5.09803915,11
31-maj-2017 08:18:48.396,15.50031757,767,6.25,4.70588255,11
31-maj-2017 08:18:48.495,15.50031757,767,6.25,4.70588255,11
31-maj-2017 08:18:48.595,15.50031757,767,6.25,4.70588255,11
31-maj-2017 08:18:48.697,15.50031757,767,6.25,4.70588255,11
31-maj-2017 08:18:48.798,14.72871017,767,6.25,4.70588255,11
31-maj-2017 08:18:48.896,14.72871017,767,7.75,4.70588255,11
31-maj-2017 08:18:48.996,14.72871017,767,7.75,4.70588255,11
31-maj-2017 08:18:49.096,14.72871017,746.5,7.75,4.70588255,11
31-maj-2017 08:18:49.197,14.72871017,746.5,7.75,4.70588255,0.5
31-maj-2017 08:18:49.297,14.72871017,746.5,7.75,4.70588255,0.5
31-maj-2017 08:18:49.396,14.72871017,746.5,7.75,5.49019623,0.5
31-maj-2017 08:18:49.495,14.72871017,746.5,7.75,5.49019623,0.5
31-maj-2017 08:18:49.595,14.72871017,746.5,7.75,5.49019623,0.5
31-maj-2017 08:18:49.697,15.17014122,746.5,7.75,5.49019623,0.5
31-maj-2017 08:18:49.797,15.17014122,746.5,7.75,5.49019623,0.5
31-maj-2017 08:18:49.897,15.17014122,746.5,6.75,5.49019623,0.5
31-maj-2017 08:18:49.997,15.17014122,854.5,6.75,5.49019623,0.5
31-maj-2017 08:18:50.096,15.17014122,854.5,6.75,5.49019623,0.5
31-maj-2017 08:18:50.197,15.17014122,854.5,6.75,5.49019623,-1.5
31-maj-2017 08:18:50.298,15.17014122,854.5,6.75,5.49019623,-1.5
31-maj-2017 08:18:50.396,15.17014122,854.5,6.75,4.31372547,-1.5
31-maj-2017 08:18:50.495,15.17014122,854.5,6.75,4.31372547,-1.5
31-maj-2017 08:18:50.598,15.17014122,854.5,6.75,4.31372547,-1.5
31-maj-2017 08:18:50.697,12.7512455,854.5,6.75,4.31372547,-1.5
31-maj-2017 08:18:50.796,12.7512455,854.5,8.75,4.31372547,-1.5
31-maj-2017 08:18:50.895,12.7512455,854.5,8.75,4.31372547,-1.5
31-maj-2017 08:18:50.996,12.7512455,1006.5,8.75,4.31372547,-1.5
31-maj-2017 08:18:51.097,12.7512455,1006.5,8.75,4.31372547,-1.5
31-maj-2017 08:18:51.196,12.7512455,1006.5,8.75,4.31372547,12.5
31-maj-2017 08:18:51.297,12.7512455,1006.5,8.75,4.70588255,12.5
31-maj-2017 08:18:51.400,12.7512455,1006.5,8.75,4.70588255,12.5
31-maj-2017 08:18:51.496,12.7512455,1006.5,8.75,4.70588255,12.5
31-maj-2017 08:18:51.595,13.80278397,1006.5,8.75,4.70588255,12.5
31-maj-2017 08:18:51.697,13.80278397,1006.5,8.75,4.70588255,12.5
31-maj-2017 08:18:51.796,13.80278397,1006.5,7.25,4.70588255,12.5
31-maj-2017 08:18:51.896,13.80278397,1006.5,7.25,4.70588255,12.5
31-maj-2017 08:18:51.996,13.80278397,1122,7.25,4.70588255,12.5
31-maj-2017 08:18:52.097,13.80278397,1122,7.25,4.70588255,6.5
31-maj-2017 08:18:52.196,13.80278397,1122,7.25,4.70588255,6.5
31-maj-2017 08:18:52.298,13.80278397,1122,7.25,4.70588255,6.5
31-maj-2017 08:18:52.396,13.80278397,1122,7.25,4.70588255,6.5
31-maj-2017 08:18:52.495,13.80278397,1122,7.25,4.70588255,6.5
31-maj-2017 08:18:52.596,14.96916485,1122,7.25,4.70588255,6.5
31-maj-2017 08:18:52.697,14.96916485,1122,7.25,4.70588255,6.5
31-maj-2017 08:18:52.796,14.96916485,1122,6.25,4.70588255,6.5
31-maj-2017 08:18:52.896,14.96916485,-64.25,6.25,4.70588255,6.5
31-maj-2017 08:18:52.997,14.96916485,-64.25,6.25,4.70588255,6.5
31-maj-2017 08:18:53.098,14.96916485,-64.25,6.25,4.70588255,15.5
31-maj-2017 08:18:53.196,14.96916485,-64.25,6.25,4.70588255,15.5
31-maj-2017 08:18:53.297,14.96916485,-64.25,6.25,4.70588255,15.5
31-maj-2017 08:18:53.396,14.96916485,-64.25,6.25,4.70588255,15.5
31-maj-2017 08:18:53.496,16.55544472,-64.25,6.25,4.70588255,15.5
31-maj-2017 08:18:53.597,16.55544472,-64.25,6.25,4.70588255,15.5
31-maj-2017 08:18:53.697,16.55544472,-64.25,7.75,4.70588255,15.5
31-maj-2017 08:18:53.797,16.55544472,-64.25,7.75,4.70588255,15.5
31-maj-2017 08:18:53.897,16.55544472,1117.75,7.75,4.70588255,15.5
31-maj-2017 08:18:54.000,16.55544472,1117.75,7.75,4.70588255,1.5
31-maj-2017 08:18:54.099,16.55544472,1117.75,7.75,4.70588255,1.5
31-maj-2017 08:18:54.195,16.55544472,1117.75,7.75,6.27450991,1.5
31-maj-2017 08:18:54.297,16.55544472,1117.75,7.75,6.27450991,1.5
31-maj-2017 08:18:54.396,16.55544472,1117.75,7.75,6.27450991,1.5
31-maj-2017 08:18:54.496,15.50031757,1117.75,7.75,6.27450991,1.5
31-maj-2017 08:18:54.597,15.50031757,1117.75,7.75,6.27450991,1.5
31-maj-2017 08:18:54.696,15.50031757,1117.75,11.75,6.27450991,1.5
31-maj-2017 08:18:54.797,15.50031757,1302.5,11.75,6.27450991,1.5
31-maj-2017 08:18:54.897,15.50031757,1302.5,11.75,6.27450991,1.5
31-maj-2017 08:18:54.999,15.50031757,1302.5,11.75,6.27450991,15.5
31-maj-2017 08:18:55.096,15.50031757,1302.5,11.75,6.27450991,15.5
31-maj-2017 08:18:55.197,15.50031757,1302.5,11.75,-0.39215687,15.5
31-maj-2017 08:18:55.298,15.50031757,1302.5,11.75,-0.39215687,15.5
31-maj-2017 08:18:55.396,15.50031757,1302.5,11.75,-0.39215687,15.5
31-maj-2017 08:18:55.495,15.14143085,1302.5,11.75,-0.39215687,15.5
31-maj-2017 08:18:55.595,15.14143085,1302.5,11.5,-0.39215687,15.5
31-maj-2017 08:18:55.697,15.14143085,1302.5,11.5,-0.39215687,15.5
31-maj-2017 08:18:55.796,15.14143085,1557,11.5,-0.39215687,15.5
31-maj-2017 08:18:55.897,15.14143085,1557,11.5,-0.39215687,15.5
31-maj-2017 08:18:55.998,15.14143085,1557,11.5,-0.39215687,18
31-maj-2017 08:18:56.098,15.14143085,1557,11.5,7.84313726,18
31-maj-2017 08:18:56.198,15.14143085,1557,11.5,7.84313726,18
31-maj-2017 08:18:56.297,15.14143085,1557,11.5,7.84313726,18
31-maj-2017 08:18:56.397,14.16525745,1557,11.5,7.84313726,18
31-maj-2017 08:18:56.496,14.16525745,1557,11.5,7.84313726,18
31-maj-2017 08:18:56.597,14.16525745,1557,12,7.84313726,18
31-maj-2017 08:18:56.696,14.16525745,1691.25,12,7.84313726,18
31-maj-2017 08:18:56.796,14.16525745,1691.25,12,7.84313726,18
31-maj-2017 08:18:56.898,14.16525745,1691.25,12,7.84313726,-6
31-maj-2017 08:18:56.996,14.16525745,1691.25,12,3.13725495,-6
31-maj-2017 08:18:57.099,14.16525745,1691.25,12,3.13725495,-6
31-maj-2017 08:18:57.197,14.16525745,1691.25,12,3.13725495,-6
31-maj-2017 08:18:57.298,14.16525745,1691.25,12,3.13725495,-6
31-maj-2017 08:18:57.396,11.02499962,1691.25,12,3.13725495,-6
31-maj-2017 08:18:57.496,11.02499962,1691.25,10.5,3.13725495,-6
31-maj-2017 08:18:57.596,11.02499962,1691.25,10.5,3.13725495,-6
31-maj-2017 08:18:57.698,11.02499962,1159.25,10.5,3.13725495,-6
31-maj-2017 08:18:57.798,11.02499962,1159.25,10.5,3.13725495,-6
31-maj-2017 08:18:57.896,11.02499962,1159.25,10.5,3.13725495,9
31-maj-2017 08:18:57.999,11.02499962,1159.25,10.5,-0.39215687,9
31-maj-2017 08:18:58.095,11.02499962,1159.25,10.5,-0.39215687,9
31-maj-2017 08:18:58.197,11.02499962,1159.25,10.5,-0.39215687,9
31-maj-2017 08:18:58.298,15.37470722,1159.25,10.5,-0.39215687,9
31-maj-2017 08:18:58.396,15.37470722,1159.25,10.5,-0.39215687,9
31-maj-2017 08:18:58.495,15.37470722,1159.25,13,-0.39215687,9
31-maj-2017 08:18:58.597,15.37470722,1159.25,13,-0.39215687,9
31-maj-2017 08:18:58.699,15.37470722,1267.25,13,-0.39215687,9
31-maj-2017 08:18:58.795,15.37470722,1267.25,13,-0.39215687,14
31-maj-2017 08:18:58.896,15.37470722,1267.25,13,-0.39215687,14
31-maj-2017 08:18:58.997,15.37470722,1267.25,13,9.01960754,14
31-maj-2017 08:18:59.095,15.37470722,1267.25,13,9.01960754,14
31-maj-2017 08:18:59.196,15.37470722,1267.25,13,9.01960754,14
31-maj-2017 08:18:59.297,13.55515099,1267.25,13,9.01960754,14
31-maj-2017 08:18:59.396,13.55515099,1267.25,12,9.01960754,14
31-maj-2017 08:18:59.495,13.55515099,1267.25,12,9.01960754,14
31-maj-2017 08:18:59.598,13.55515099,1408.75,12,9.01960754,14
31-maj-2017 08:18:59.696,13.55515099,1408.75,12,9.01960754,17
31-maj-2017 08:18:59.796,13.55515099,1408.75,12,9.01960754,17
31-maj-2017 08:18:59.898,13.55515099,1408.75,12,7.45098066,17
31-maj-2017 08:18:59.996,13.55515099,1408.75,12,7.45098066,17
31-maj-2017 08:19:00.096,13.55515099,1408.75,12,7.45098066,17
31-maj-2017 08:19:00.196,15.10913086,1408.75,12,7.45098066,17
31-maj-2017 08:19:00.297,15.10913086,1408.75,12,7.45098066,17
31-maj-2017 08:19:00.396,15.10913086,1408.75,11.25,7.45098066,17
31-maj-2017 08:19:00.495,15.10913086,1408.75,11.25,7.45098066,17
31-maj-2017 08:19:00.595,15.10913086,1482.75,11.25,7.45098066,17
31-maj-2017 08:19:00.699,15.10913086,1482.75,11.25,7.45098066,18
31-maj-2017 08:19:00.798,15.10913086,1482.75,11.25,7.45098066,18
31-maj-2017 08:19:00.896,15.10913086,1482.75,11.25,7.45098066,18
31-maj-2017 08:19:00.997,15.10913086,1482.75,11.25,7.45098066,18
31-maj-2017 08:19:01.098,15.10913086,1482.75,11.25,7.45098066,18
31-maj-2017 08:19:01.197,14.84714413,1482.75,11.25,7.45098066,18
31-maj-2017 08:19:01.296,14.84714413,1482.75,11.25,7.45098066,18
31-maj-2017 08:19:01.397,14.84714413,1482.75,11,7.45098066,18
31-maj-2017 08:19:01.495,14.84714413,1559.25,11,7.45098066,18
31-maj-2017 08:19:01.596,14.84714413,1559.25,11,7.45098066,18
31-maj-2017 08:19:01.699,14.84714413,1559.25,11,7.45098066,18
31-maj-2017 08:19:01.796,14.84714413,1559.25,11,7.45098066,18
31-maj-2017 08:19:01.897,14.84714413,1559.25,11,7.45098066,18
31-maj-2017 08:19:01.998,14.84714413,1559.25,11,7.45098066,18
31-maj-2017 08:19:02.096,14.64257717,1559.25,11,7.45098066,18
31-maj-2017 08:19:02.198,14.64257717,1559.25,11,7.45098066,18
31-maj-2017 08:19:02.296,14.64257717,1559.25,11,7.45098066,18
31-maj-2017 08:19:02.396,14.64257717,1559.25,11,7.45098066,18
31-maj-2017 08:19:02.495,14.64257717,1603.25,11,7.45098066,18
31-maj-2017 08:19:02.595,14.64257717,1603.25,11,7.45098066,18
31-maj-2017 08:19:02.697,14.64257717,1603.25,11,7.45098066,18
31-maj-2017 08:19:02.796,14.64257717,1603.25,11,7.45098066,18
31-maj-2017 08:19:02.897,14.64257717,1603.25,11,7.45098066,18
31-maj-2017 08:19:02.997,14.64257717,1603.25,11,7.45098066,18
31-maj-2017 08:19:03.098,14.7968998,1603.25,11,7.45098066,18
31-maj-2017 08:19:03.196,14.7968998,1603.25,11,7.45098066,18
31-maj-2017 08:19:03.298,14.7968998,1603.25,11,7.45098066,18
31-maj-2017 08:19:03.396,14.7968998,1632.25,11,7.45098066,18
31-maj-2017 08:19:03.496,14.7968998,1632.25,11,7.45098066,18
31-maj-2017 08:19:03.596,14.7968998,1632.25,11,7.45098066,18.5
31-maj-2017 08:19:03.697,14.7968998,1632.25,11,7.45098066,18.5
31-maj-2017 08:19:03.797,14.7968998,1632.25,11,7.45098066,18.5
31-maj-2017 08:19:03.897,14.7968998,1632.25,11,7.45098066,18.5
31-maj-2017 08:19:03.998,14.7968998,1632.25,11,7.45098066,18.5
31-maj-2017 08:19:04.098,15.19885254,1632.25,11,7.45098066,18.5
31-maj-2017 08:19:04.196,15.19885254,1632.25,11.25,7.45098066,18.5
31-maj-2017 08:19:04.297,15.19885254,1632.25,11.25,7.45098066,18.5
31-maj-2017 08:19:04.396,15.19885254,1673,11.25,7.45098066,18.5
31-maj-2017 08:19:04.497,15.19885254,1673,11.25,7.45098066,18.5
31-maj-2017 08:19:04.596,15.19885254,1673,11.25,7.45098066,18.5
31-maj-2017 08:19:04.696,15.19885254,1673,11.25,7.45098066,18.5
31-maj-2017 08:19:04.797,15.19885254,1673,11.25,7.45098066,18.5
31-maj-2017 08:19:04.897,15.19885254,1673,11.25,7.45098066,18.5
31-maj-2017 08:19:04.996,15.19885254,1673,11.25,7.45098066,18.5
31-maj-2017 08:19:05.098,14.45954514,1673,11.25,7.45098066,18.5
31-maj-2017 08:19:05.198,14.45954514,1673,10.75,7.45098066,18.5
31-maj-2017 08:19:05.297,14.45954514,1673,10.75,7.45098066,18.5
31-maj-2017 08:19:05.396,14.45954514,1725,10.75,7.45098066,18.5
31-maj-2017 08:19:05.497,14.45954514,1725,10.75,7.45098066,19.5
31-maj-2017 08:19:05.598,14.45954514,1725,10.75,7.45098066,19.5
31-maj-2017 08:19:05.696,14.45954514,1725,10.75,6.66666698,19.5
31-maj-2017 08:19:05.797,14.45954514,1725,10.75,6.66666698,19.5
31-maj-2017 08:19:05.896,14.45954514,1725,10.75,6.66666698,19.5
31-maj-2017 08:19:05.996,13.85661602,1725,10.75,6.66666698,19.5
31-maj-2017 08:19:06.095,13.85661602,1725,10.75,6.66666698,19.5
31-maj-2017 08:19:06.197,13.85661602,1725,9.5,6.66666698,19.5
31-maj-2017 08:19:06.296,13.85661602,1752.75,9.5,6.66666698,19.5
31-maj-2017 08:19:06.395,13.85661602,1752.75,9.5,6.66666698,19.5
31-maj-2017 08:19:06.495,13.85661602,1752.75,9.5,6.66666698,19.5
31-maj-2017 08:19:06.595,13.85661602,1752.75,9.5,5.88235283,19.5
31-maj-2017 08:19:06.695,13.85661602,1752.75,9.5,5.88235283,19.5
31-maj-2017 08:19:06.797,13.85661602,1752.75,9.5,5.88235283,19.5
31-maj-2017 08:19:06.897,13.85661602,1752.75,9.5,5.88235283,19.5
31-maj-2017 08:19:06.997,15.08041954,1752.75,9.5,5.88235283,19.5
31-maj-2017 08:19:07.097,15.08041954,1752.75,7.5,5.88235283,19.5
31-maj-2017 08:19:07.197,15.08041954,1752.75,7.5,5.88235283,19.5
31-maj-2017 08:19:07.298,15.08041954,1707.5,7.5,5.88235283,19.5
31-maj-2017 08:19:07.397,15.08041954,1707.5,7.5,5.88235283,18.5
31-maj-2017 08:19:07.495,15.08041954,1707.5,7.5,5.88235283,18.5
31-maj-2017 08:19:07.596,15.08041954,1707.5,7.5,4.31372547,18.5
31-maj-2017 08:19:07.696,15.08041954,1707.5,7.5,4.31372547,18.5
31-maj-2017 08:19:07.799,15.08041954,1707.5,7.5,4.31372547,18.5
31-maj-2017 08:19:07.896,14.7968998,1707.5,7.5,4.31372547,18.5
31-maj-2017 08:19:07.998,14.7968998,1707.5,7.5,4.31372547,18.5
31-maj-2017 08:19:08.098,14.7968998,1707.5,4,4.31372547,18.5
31-maj-2017 08:19:08.196,14.7968998,1631.25,4,4.31372547,18.5
31-maj-2017 08:19:08.295,14.7968998,1631.25,4,4.31372547,18.5
31-maj-2017 08:19:08.400,14.7968998,1631.25,4,4.31372547,16.5
31-maj-2017 08:19:08.496,14.7968998,1631.25,4,2.74509811,16.5
31-maj-2017 08:19:08.596,14.7968998,1631.25,4,2.74509811,16.5
31-maj-2017 08:19:08.698,14.7968998,1631.25,4,2.74509811,16.5
31-maj-2017 08:19:08.797,14.7968998,1631.25,4,2.74509811,16.5
31-maj-2017 08:19:08.896,14.08989239,1631.25,4,2.74509811,16.5
31-maj-2017 08:19:08.997,14.08989239,1631.25,4.5,2.74509811,16.5
31-maj-2017 08:19:09.103,14.08989239,1631.25,4.5,2.74509811,16.5
31-maj-2017 08:19:09.197,14.08989239,1469.25,4.5,2.74509811,16.5
31-maj-2017 08:19:09.300,14.08989239,1469.25,4.5,2.74509811,4.5
31-maj-2017 08:19:09.396,14.08989239,1469.25,4.5,2.74509811,4.5
31-maj-2017 08:19:09.496,14.08989239,1469.25,4.5,2.35294127,4.5
31-maj-2017 08:19:09.595,14.08989239,1469.25,4.5,2.35294127,4.5
31-maj-2017 08:19:09.695,14.08989239,1469.25,4.5,2.35294127,4.5
31-maj-2017 08:19:09.795,15.98840332,1469.25,4.5,2.35294127,4.5
31-maj-2017 08:19:09.896,15.98840332,1469.25,4.5,2.35294127,4.5
31-maj-2017 08:19:09.998,15.98840332,1469.25,4.5,2.35294127,4.5
31-maj-2017 08:19:10.096,15.98840332,1469.25,4.5,2.35294127,4.5
31-maj-2017 08:19:10.198,15.98840332,-64.25,4.5,2.35294127,4.5
31-maj-2017 08:19:10.298,15.98840332,-64.25,4.5,2.35294127,8
31-maj-2017 08:19:10.398,15.98840332,-64.25,4.5,2.35294127,8
31-maj-2017 08:19:10.496,15.98840332,-64.25,4.5,2.74509811,8
31-maj-2017 08:19:10.595,15.98840332,-64.25,4.5,2.74509811,8
31-maj-2017 08:19:10.696,15.98840332,-64.25,4.5,2.74509811,8
31-maj-2017 08:19:10.795,15.85920429,-64.25,4.5,2.74509811,8
31-maj-2017 08:19:10.896,15.85920429,-64.25,4.5,2.74509811,8
31-maj-2017 08:19:10.998,15.85920429,-64.25,4.25,2.74509811,8
31-maj-2017 08:19:11.096,15.85920429,877.25,4.25,2.74509811,8
31-maj-2017 08:19:11.198,15.85920429,877.25,4.25,2.74509811,8
31-maj-2017 08:19:11.300,15.85920429,877.25,4.25,2.74509811,7.5
